,code,name,block_name,weight,date
0,szse.000001,平安银行,payh,0.00849,2016-12-30
1,szse.000002,万科A,wka,0.0152,2016-12-30
2,szse.000008,神州高铁,szgt,0.00084,2016-12-30
3,szse.000009,中国宝安,zgba,0.00242,2016-12-30
4,szse.000027,深圳能源,szny,0.00089,2016-12-30
5,szse.000039,中集集团,zjjt,0.0012,2016-12-30
6,szse.000060,中金岭南,zjln,0.00188,2016-12-30
7,szse.000061,农产品,ncp,0.00091,2016-12-30
8,szse.000063,中兴通讯,zxtx,0.0041199999999999995,2016-12-30
9,szse.000069,华侨城A,hqca,0.00248,2016-12-30
10,szse.000100,TCL科技,tclkj,0.00263,2016-12-30
11,szse.000156,华数传媒,hscm,0.0011200000000000001,2016-12-30
12,szse.000157,中联重科,zlzk,0.00217,2016-12-30
13,szse.000166,申万宏源,swhy,0.00409,2016-12-30
14,szse.000333,美的集团,mdjt,0.01376,2016-12-30
15,szse.000338,潍柴动力,wcdl,0.00262,2016-12-30
16,szse.000402,金融街,jrj,0.00134,2016-12-30
17,szse.000413,ST旭电,stxd,0.00229,2016-12-30
18,szse.000415,渤海租赁,bhzl,0.0014399999999999999,2016-12-30
19,szse.000423,东阿阿胶,deej,0.00306,2016-12-30
20,szse.000425,徐工机械,xgjx,0.00154,2016-12-30
21,szse.000503,国新健康,gxjk,0.00328,2016-12-30
22,szse.000538,云南白药,ynby,0.00431,2016-12-30
23,szse.000540,*ST中天,*stzt,0.00212,2016-12-30
24,szse.000555,神州信息,szxx,0.00064,2016-12-30
25,szse.000559,万向钱潮,wxqc,0.00165,2016-12-30
26,szse.000568,泸州老窖,lzlj,0.00251,2016-12-30
27,szse.000623,吉林敖东,jlad,0.00241,2016-12-30
28,szse.000625,长安汽车,caqc,0.00317,2016-12-30
29,szse.000627,天茂集团,tmjt,0.00106,2016-12-30
30,szse.000630,铜陵有色,tlys,0.0022400000000000002,2016-12-30
31,szse.000651,格力电器,gldq,0.01287,2016-12-30
32,szse.000671,ST阳光城,stygc,0.00098,2016-12-30
33,szse.000686,东北证券,dbzq,0.00189,2016-12-30
34,szse.000709,河钢股份,hggf,0.00154,2016-12-30
35,szse.000712,锦龙股份,jlgf,0.00114,2016-12-30
36,szse.000718,苏宁环球,snhq,0.00114,2016-12-30
37,szse.000725,京东方A,jdfa,0.00738,2016-12-30
38,szse.000728,国元证券,gyzq,0.00255,2016-12-30
39,szse.000738,航发控制,hfkz,0.00123,2016-12-30
40,szse.000750,国海证券,ghzq,0.00223,2016-12-30
41,szse.000768,中航西飞,zhxf,0.0032,2016-12-30
42,szse.000776,广发证券,gfzq,0.00542,2016-12-30
43,szse.000778,新兴铸管,xxzg,0.00123,2016-12-30
44,szse.000783,长江证券,cjzq,0.00369,2016-12-30
45,szse.000792,盐湖股份,yhgf,0.00154,2016-12-30
46,szse.000793,华闻集团,hwjt,0.00247,2016-12-30
47,szse.000800,一汽解放,yqjf,0.00096,2016-12-30
48,szse.000826,启迪环境,qdhj,0.00184,2016-12-30
49,szse.000839,中信国安,zxga,0.0027400000000000002,2016-12-30
50,szse.000858,五粮液,wly,0.00711,2016-12-30
51,szse.000876,新希望,xxw,0.00182,2016-12-30
52,szse.000895,双汇发展,shfz,0.0022500000000000003,2016-12-30
53,szse.000917,电广传媒,dgcm,0.0017699999999999999,2016-12-30
54,szse.000938,紫光股份,zggf,0.00091,2016-12-30
